x,y,ID,DKmapsf$KN10kmDK
225,105,509,10km_615_66
225,115,510,10km_616_66
225,125,511,10km_617_66
225,135,512,10km_618_66
225,145,513,10km_619_66
225,155,514,10km_620_66
235,5,515,10km_605_67
235,15,516,10km_606_67
235,25,517,10km_607_67
235,35,518,10km_608_67
235,45,519,10km_609_67
235,55,520,10km_610_67
235,65,521,10km_611_67
235,75,522,10km_612_67
235,85,523,10km_613_67
235,95,524,10km_614_67
235,105,525,10km_615_67
235,115,526,10km_616_67
235,125,527,10km_617_67
235,135,528,10km_618_67
235,145,529,10km_619_67
235,155,530,10km_620_67
245,5,531,10km_605_68
245,15,532,10km_606_68
245,25,533,10km_607_68
245,35,534,10km_608_68
245,45,535,10km_609_68
245,55,536,10km_610_68
245,65,537,10km_611_68
245,75,538,10km_612_68
245,85,539,10km_613_68
245,95,540,10km_614_68
245,105,541,10km_615_68
245,115,542,10km_616_68
245,125,543,10km_617_68
245,135,544,10km_618_68
245,145,545,10km_619_68
245,155,546,10km_620_68
245,165,547,10km_621_68
255,5,548,10km_605_69
255,15,549,10km_606_69
255,25,550,10km_607_69
255,35,551,10km_608_69
255,45,552,10km_609_69
255,55,553,10km_610_69
255,65,554,10km_611_69
255,75,555,10km_612_69
255,85,556,10km_613_69
255,95,557,10km_614_69
255,105,558,10km_615_69
255,115,559,10km_616_69
255,125,560,10km_617_69
255,135,561,10km_618_69
255,145,562,10km_619_69
255,155,563,10km_620_69
255,165,564,10km_621_69
265,25,565,10km_607_70
265,35,566,10km_608_70
265,45,567,10km_609_70
265,55,568,10km_610_70
265,65,569,10km_611_70
265,75,570,10km_612_70
265,85,571,10km_613_70
265,95,572,10km_614_70
265,105,573,10km_615_70
265,115,574,10km_616_70
265,125,575,10km_617_70
265,135,576,10km_618_70
265,145,577,10km_619_70
265,155,578,10km_620_70
265,165,579,10km_621_70
275,175,580,10km_622_70
275,45,581,10km_609_71
275,55,582,10km_610_71
275,75,583,10km_612_71
275,85,584,10km_613_71
275,95,585,10km_614_71
275,115,586,10km_616_71
275,125,587,10km_617_71
275,135,588,10km_618_71
275,145,589,10km_619_71
275,155,590,10km_620_71
275,165,591,10km_621_71
285,175,592,10km_622_71
285,45,593,10km_609_72
285,55,594,10km_610_72
285,115,595,10km_616_72
285,125,596,10km_617_72
285,135,597,10km_618_72
285,145,598,10km_619_72
285,165,599,10km_621_72
295,115,600,10km_616_73
295,125,601,10km_617_73
425,55,602,10km_611_86
425,65,603,10km_612_86
425,75,604,10km_613_86
425,85,605,10km_614_86
435,55,606,10km_611_87
435,65,607,10km_612_87
435,75,608,10km_613_87
445,45,609,10km_610_88
445,55,610,10km_611_88
445,65,611,10km_612_88
445,75,612,10km_613_88
455,55,613,10km_611_89
455,65,614,10km_612_89
